,latitude,longitude
112,28.467201,-16.247255
113,28.466588,-16.247191
114,28.473827,-16.24496
115,28.454966,-16.26715
116,28.454966,-16.26715
117,28.454966,-16.26715
118,28.454966,-16.26715
119,28.454966,-16.26715
120,28.470023,-16.246436
121,28.472074,-16.241617
122,28.476383,-16.2457
123,28.476383,-16.2457
124,28.476383,-16.2457
125,28.478877,-16.230128
126,28.478074,-16.227923
127,28.479497,-16.231706
128,28.478877,-16.230128
129,28.469224,-16.244706
130,28.469224,-16.244706
131,28.469872,-16.244698
132,28.469063,-16.244353
133,28.469263,-16.244809
134,28.469397,-16.244737
135,28.469486,-16.244645
136,28.469677,-16.244562
137,28.470366,-16.244156
138,28.469052,-16.244298
139,28.468877,-16.243995
140,28.469061,-16.244095
141,28.469163,-16.244112
142,28.468994,-16.244103
143,28.469183,-16.2442
144,28.46908,-16.244189
145,28.469163,-16.244076
146,28.469172,-16.244153
147,28.468755,-16.243556
148,28.469013,-16.24422
149,28.469308,-16.243953
150,28.469205,-16.244087
151,28.469155,-16.24402
152,28.452711,-16.255548
153,28.452758,-16.255509
154,28.452716,-16.255937
155,28.452869,-16.255545
156,28.452788,-16.255664
157,28.452858,-16.255428
158,28.452716,-16.255937
159,28.452736,-16.255489
160,28.452822,-16.25565
161,28.452716,-16.255937
162,28.452716,-16.256148
163,28.452194,-16.254981
164,28.452591,-16.254673
165,28.452602,-16.254662
166,28.452658,-16.254628
167,28.452297,-16.254887
168,28.45228,-16.254945
169,28.4523,-16.254989
170,28.452588,-16.25467
171,28.452644,-16.254653
172,28.452627,-16.254662
173,28.452263,-16.254839
174,28.452361,-16.254998
175,28.452413,-16.255042
176,28.452263,-16.254839
177,28.452194,-16.254981
178,28.452658,-16.254628
179,28.452627,-16.254662
180,28.451497,-16.255467
181,28.451677,-16.255603
182,28.451822,-16.254992
183,28.45175,-16.254962
184,28.451963,-16.254939
185,28.451472,-16.255445
186,28.451741,-16.255337
187,28.451522,-16.255614
188,28.451505,-16.255625
189,28.451505,-16.255598
190,28.451561,-16.25547
191,28.451788,-16.255298
192,28.451819,-16.255203
193,28.45178,-16.254887
194,28.451761,-16.254964
195,28.451819,-16.254912
196,28.452263,-16.254839
197,28.451819,-16.255203
198,28.451822,-16.254992
199,28.45208,-16.254942
200,28.452155,-16.254925
201,28.452261,-16.254881
202,28.451997,-16.255634
203,28.451922,-16.255617
204,28.451913,-16.255637
205,28.451913,-16.255637
206,28.451997,-16.255634
207,28.451994,-16.255567
208,28.451872,-16.255809
209,28.451855,-16.255778
210,28.451919,-16.255912
211,28.451961,-16.255631
212,28.451952,-16.255581
213,28.451769,-16.255698
214,28.451919,-16.255912
215,28.4517,-16.256337
216,28.451994,-16.256548
217,28.452063,-16.256548
218,28.451972,-16.256448
219,28.452041,-16.256576
220,28.45208,-16.255964
221,28.451683,-16.256339
222,28.452088,-16.255473
223,28.451713,-16.256353
224,28.451936,-16.256451
225,28.451994,-16.256548
226,28.451988,-16.256437
227,28.451994,-16.256448
228,28.461127,-16.249245
229,28.457552,-16.250925
230,28.461166,-16.249539
231,28.461127,-16.249245
232,28.46128,-16.249542
233,28.461111,-16.24932
234,28.460077,-16.249442
235,28.45793,-16.250634
236,28.457419,-16.25092
237,28.462786,-16.251564
238,28.463505,-16.251839
239,28.462986,-16.251842
240,28.463455,-16.251717
241,28.463072,-16.251739
242,28.46318,-16.251789
243,28.46308,-16.251751
244,28.462972,-16.251712
245,28.462827,-16.252295
246,28.462788,-16.251589
247,28.462869,-16.252301
248,28.462822,-16.252287
249,28.462777,-16.252137
255,28.463194,-16.251795
260,28.462947,-16.251839
270,28.46298,-16.251737
271,28.462838,-16.251581
272,28.462655,-16.251684
273,28.462886,-16.252256
274,28.462905,-16.252267
275,28.46288,-16.252298
276,28.462922,-16.251598
277,28.462866,-16.252064
278,28.462794,-16.251648
279,28.462827,-16.251578
280,28.462827,-16.251584
281,28.462825,-16.251653
282,28.46353,-16.251675
283,28.463413,-16.251789
284,28.463413,-16.251789
285,28.463205,-16.25172
286,28.463191,-16.251956
287,28.463163,-16.252025
288,28.464477,-16.251467
289,28.462905,-16.251948
290,28.46308,-16.251981
291,28.462922,-16.252309
292,28.463944,-16.251523
293,28.463858,-16.251584
294,28.46353,-16.251739
295,28.463447,-16.251873
296,28.463422,-16.251775
297,28.463113,-16.251917
298,28.463191,-16.251956
299,28.46308,-16.251981
300,28.464519,-16.251456
301,28.467105,-16.250795
302,28.466502,-16.251159
303,28.466405,-16.251203
304,28.464477,-16.251467
305,28.465486,-16.251417
306,28.466944,-16.249651
307,28.465463,-16.25145
308,28.451616,-16.256648
309,28.451563,-16.256664
310,28.451991,-16.256981
311,28.45205,-16.257009
312,28.45205,-16.257009
313,28.452105,-16.256948
314,28.452108,-16.25687
315,28.452044,-16.256917
316,28.451955,-16.257156
317,28.451697,-16.256284
318,28.451883,-16.256975
319,28.452113,-16.257103
320,28.451616,-16.256648
321,28.452105,-16.256948
322,28.451747,-16.256545
323,28.451755,-16.25647
324,28.451677,-16.256334
325,28.451616,-16.256648
326,28.451736,-16.256712
327,28.45205,-16.257009
328,28.452088,-16.256912
329,28.452044,-16.256962
330,28.452108,-16.25687
331,28.451755,-16.25647
332,28.451677,-16.256334
333,28.451697,-16.256284
334,28.451858,-16.257298
335,28.451808,-16.257178
336,28.451802,-16.257114
337,28.451802,-16.257114
338,28.451786,-16.257098
339,28.451655,-16.257012
340,28.451594,-16.256906
341,28.451547,-16.25675
342,28.451969,-16.257589
343,28.451808,-16.257178
344,28.451855,-16.257175
345,28.451522,-16.256695
346,28.451969,-16.257589
347,28.451836,-16.25715
348,28.45168,-16.25692
349,28.45168,-16.25692
350,28.45168,-16.25692
351,28.451552,-16.256637
352,28.451877,-16.257223
353,28.451786,-16.257098
354,28.451736,-16.257142
355,28.451552,-16.256637
356,28.453147,-16.257187
357,28.453155,-16.2573
358,28.453119,-16.257581
359,28.453119,-16.257581
360,28.452719,-16.258237
361,28.452586,-16.258356
362,28.452472,-16.258353
363,28.452472,-16.258353
364,28.452105,-16.257773
365,28.451988,-16.257728
366,28.453094,-16.257445
367,28.452586,-16.258356
368,28.452013,-16.257698
369,28.453063,-16.257803
370,28.453111,-16.257242
371,28.453116,-16.257264
372,28.453072,-16.257559
373,28.453052,-16.25772
374,28.452013,-16.257698
375,28.451888,-16.257559
376,28.451888,-16.257559
377,28.452936,-16.256803
378,28.453077,-16.257228
379,28.452802,-16.256553
380,28.452786,-16.256648
381,28.453086,-16.257262
382,28.452936,-16.256803
383,28.453144,-16.257284
384,28.452983,-16.256148
385,28.454922,-16.253948
386,28.455147,-16.252756
387,28.455011,-16.252659
388,28.455069,-16.252806
389,28.455305,-16.25302
390,28.453863,-16.255753
391,28.453861,-16.2559
392,28.455011,-16.252659
393,28.454922,-16.253948
394,28.454861,-16.253948
395,28.454022,-16.255559
396,28.453794,-16.256012
397,28.453611,-16.256153
398,28.45523,-16.252845
399,28.456558,-16.252189
400,28.456274,-16.252312
401,28.455811,-16.252656
402,28.456905,-16.251367
403,28.455811,-16.252656
404,28.455763,-16.252717
405,28.45603,-16.252364
406,28.455972,-16.252514
407,28.455755,-16.252731
408,28.456636,-16.251689
409,28.455911,-16.252531
410,28.455725,-16.252756
411,28.456569,-16.252148
412,28.456274,-16.252312
413,28.466458,-16.247687
414,28.466686,-16.247578
415,28.466336,-16.247414
416,28.466766,-16.247464
417,28.466527,-16.247545
418,28.466844,-16.247901
419,28.466844,-16.247901
420,28.469644,-16.247628
421,28.466811,-16.247817
422,28.466877,-16.247914
423,28.466641,-16.24777
424,28.468838,-16.246526
425,28.468874,-16.246545
426,28.469586,-16.247128
427,28.468505,-16.24637
428,28.468938,-16.246589
429,28.468116,-16.246198
430,28.468905,-16.246587
431,28.468844,-16.246526
432,28.468149,-16.246175
433,28.466883,-16.24747
434,28.466538,-16.247881
435,28.466844,-16.24702
436,28.466913,-16.247003
437,28.467188,-16.246851
438,28.467219,-16.246831
439,28.466877,-16.247395
440,28.466819,-16.247187
441,28.467219,-16.246831
442,28.453913,-16.270848
443,28.455807,-16.253167
444,28.467153,-16.251107
445,28.45609,-16.25145
446,28.465175,-16.249087
447,28.464822,-16.248139
448,28.464822,-16.248139
449,28.466847,-16.247339
450,28.466815,-16.25553
451,28.472473,-16.245646
452,28.464041,-16.251182
453,28.463975,-16.251085
454,28.463975,-16.251085
455,28.464041,-16.251182
456,28.472058,-16.25395
457,28.467625,-16.24733
458,28.466889,-16.247041
459,28.455665,-16.250098
460,28.455693,-16.251504
461,28.456231,-16.252276
462,28.45591,-16.252115
463,28.456127,-16.25247
464,28.455967,-16.250356
465,28.467533,-16.24707
466,28.463444,-16.251706
467,28.462313,-16.252048
468,28.45818,-16.25075
469,28.458036,-16.254122
470,28.46465,-16.266224
471,28.455703,-16.252062
472,28.456476,-16.252191
473,28.458655,-16.250538
474,28.456118,-16.251322
475,28.456118,-16.251322
476,28.46405,-16.251225
477,28.469019,-16.24541
478,28.466844,-16.244371
479,28.466844,-16.244371
480,28.466844,-16.244371
481,28.466844,-16.244371
482,28.466844,-16.244371
483,28.466844,-16.244371
484,28.466844,-16.244371
485,28.466844,-16.244371
486,28.464619,-16.243995
487,28.466844,-16.244371
488,28.466844,-16.244371
489,28.466844,-16.244371
490,28.466844,-16.244371
491,28.466844,-16.244371
492,28.455976,-16.252169
493,28.466844,-16.244371
494,28.466844,-16.244371
495,28.466844,-16.244371
496,28.455976,-16.252169
497,28.466844,-16.244371
498,28.460577,-16.253523
499,28.467088,-16.251187
500,28.473683,-16.244592
501,28.466844,-16.244371
502,28.466844,-16.244371
503,28.466844,-16.244371
504,28.477198,-16.255087
505,28.46465,-16.266224
506,28.46725,-16.247689
507,28.455838,-16.250673
508,28.455838,-16.250673
509,28.47073,-16.242128
510,28.47073,-16.242128
511,28.46465,-16.24872
512,28.46465,-16.24872
513,28.473567,-16.267286
514,28.466844,-16.244371
515,28.452622,-16.28547
516,28.481025,-16.231714
517,28.477708,-16.225506
518,28.477797,-16.237273
519,28.477797,-16.237273
520,28.477797,-16.237273
521,28.477797,-16.237273
522,28.474719,-16.247617
523,28.470005,-16.242614
524,28.464622,-16.250678
525,28.452091,-16.256311
526,28.452091,-16.256311
